"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Manatee County, FL"	"12081"	"2008"	"2008"	306	318766	96.0
	"Marion County, FL"	"12083"	"2008"	"2008"	399	330052	120.9
	"Martin County, FL"	"12085"	"2008"	"2008"	158	144369	109.4
	"Miami-Dade County, FL"	"12086"	"2008"	"2008"	1360	2436062	55.8
	"Monroe County, FL"	"12087"	"2008"	"2008"	53	72730	72.9
	"Nassau County, FL"	"12089"	"2008"	"2008"	71	71557	99.2
	"Okaloosa County, FL"	"12091"	"2008"	"2008"	166	181752	91.3
	"Okeechobee County, FL"	"12093"	"2008"	"2008"	47	39968	117.6
	"Orange County, FL"	"12095"	"2008"	"2008"	550	1115525	49.3
	"Osceola County, FL"	"12097"	"2008"	"2008"	162	261746	61.9
	"Palm Beach County, FL"	"12099"	"2008"	"2008"	973	1294938	75.1
	"Pasco County, FL"	"12101"	"2008"	"2008"	526	461313	114.0
	"Pinellas County, FL"	"12103"	"2008"	"2008"	966	916458	105.4
	"Polk County, FL"	"12105"	"2008"	"2008"	588	594801	98.9
	"Putnam County, FL"	"12107"	"2008"	"2008"	105	74999	140.0
	"St. Johns County, FL"	"12109"	"2008"	"2008"	138	181720	75.9
	"St. Lucie County, FL"	"12111"	"2008"	"2008"	215	273151	78.7
	"Santa Rosa County, FL"	"12113"	"2008"	"2008"	114	148538	76.7
	"Sarasota County, FL"	"12115"	"2008"	"2008"	461	377178	122.2
	"Seminole County, FL"	"12117"	"2008"	"2008"	232	416564	55.7
	"Sumter County, FL"	"12119"	"2008"	"2008"	92	86433	106.4
	"Suwannee County, FL"	"12121"	"2008"	"2008"	50	40774	122.6
	"Taylor County, FL"	"12123"	"2008"	"2008"	31	22356	138.7
	"Union County, FL"	"12125"	"2008"	"2008"	22	15718	140.0
	"Volusia County, FL"	"12127"	"2008"	"2008"	610	497366	122.6
	"Wakulla County, FL"	"12129"	"2008"	"2008"	20	29183	68.5
	"Walton County, FL"	"12131"	"2008"	"2008"	45	53563	84.0
	"Washington County, FL"	"12133"	"2008"	"2008"	38	24706	153.8
	"Appling County, GA"	"13001"	"2008"	"2008"	18	18133	Unreliable
	"Atkinson County, GA"	"13003"	"2008"	"2008"	15	8366	Unreliable
	"Bacon County, GA"	"13005"	"2008"	"2008"	15	10987	Unreliable
	"Baldwin County, GA"	"13009"	"2008"	"2008"	57	47855	119.1
	"Banks County, GA"	"13011"	"2008"	"2008"	15	17953	Unreliable
	"Barrow County, GA"	"13013"	"2008"	"2008"	27	67362	40.1
	"Bartow County, GA"	"13015"	"2008"	"2008"	95	98415	96.5
	"Ben Hill County, GA"	"13017"	"2008"	"2008"	25	17675	141.4
	"Berrien County, GA"	"13019"	"2008"	"2008"	32	18863	169.6
	"Bibb County, GA"	"13021"	"2008"	"2008"	161	154384	104.3
	"Bleckley County, GA"	"13023"	"2008"	"2008"	15	12985	Unreliable
	"Brantley County, GA"	"13025"	"2008"	"2008"	22	17593	125.0
	"Brooks County, GA"	"13027"	"2008"	"2008"	16	16475	Unreliable
	"Bryan County, GA"	"13029"	"2008"	"2008"	22	29178	75.4
	"Bulloch County, GA"	"13031"	"2008"	"2008"	49	67092	73.0
	"Burke County, GA"	"13033"	"2008"	"2008"	12	23084	Unreliable
	"Butts County, GA"	"13035"	"2008"	"2008"	26	23794	109.3
	"Camden County, GA"	"13039"	"2008"	"2008"	34	49713	68.4
	"Candler County, GA"	"13043"	"2008"	"2008"	15	10691	Unreliable
	"Carroll County, GA"	"13045"	"2008"	"2008"	77	110242	69.8
	"Catoosa County, GA"	"13047"	"2008"	"2008"	68	63271	107.5
	"Chatham County, GA"	"13051"	"2008"	"2008"	248	255269	97.2
	"Chattooga County, GA"	"13055"	"2008"	"2008"	44	26146	168.3
	"Cherokee County, GA"	"13057"	"2008"	"2008"	111	208271	53.3
	"Clarke County, GA"	"13059"	"2008"	"2008"	52	115768	44.9
	"Clayton County, GA"	"13063"	"2008"	"2008"	112	262099	42.7
	"Cobb County, GA"	"13067"	"2008"	"2008"	314	679822	46.2
	"Coffee County, GA"	"13069"	"2008"	"2008"	46	41813	110.0
	"Colquitt County, GA"	"13071"	"2008"	"2008"	41	44872	91.4
	"Columbia County, GA"	"13073"	"2008"	"2008"	79	117504	67.2
	"Cook County, GA"	"13075"	"2008"	"2008"	21	17067	123.0
	"Coweta County, GA"	"13077"	"2008"	"2008"	54	122281	44.2
	"Crisp County, GA"	"13081"	"2008"	"2008"	30	23243	129.1
	"Dade County, GA"	"13083"	"2008"	"2008"	12	16651	Unreliable
	"Dawson County, GA"	"13085"	"2008"	"2008"	15	21951	Unreliable
	"Decatur County, GA"	"13087"	"2008"	"2008"	27	28010	96.4
	"DeKalb County, GA"	"13089"	"2008"	"2008"	302	685646	44.0
	"Dodge County, GA"	"13091"	"2008"	"2008"	23	21399	107.5
	"Dooly County, GA"	"13093"	"2008"	"2008"	12	14191	Unreliable
	"Dougherty County, GA"	"13095"	"2008"	"2008"	67	94363	71.0
	"Douglas County, GA"	"13097"	"2008"	"2008"	75	129508	57.9
	"Early County, GA"	"13099"	"2008"	"2008"	10	11262	Unreliable
	"Effingham County, GA"	"13103"	"2008"	"2008"	27	50738	53.2
	"Elbert County, GA"	"13105"	"2008"	"2008"	22	20477	107.4
	"Emanuel County, GA"	"13107"	"2008"	"2008"	27	22421	120.4
	"Evans County, GA"	"13109"	"2008"	"2008"	13	11020	Unreliable
	"Fannin County, GA"	"13111"	"2008"	"2008"	39	23416	166.6
	"Fayette County, GA"	"13113"	"2008"	"2008"	65	105192	61.8
	"Floyd County, GA"	"13115"	"2008"	"2008"	82	95922	85.5
	"Forsyth County, GA"	"13117"	"2008"	"2008"	71	166338	42.7
	"Franklin County, GA"	"13119"	"2008"	"2008"	23	22254	103.4
	"Fulton County, GA"	"13121"	"2008"	"2008"	465	888694	52.3
